OBJECTID,Survey,Name,Alternate,Coordinate,FilterAttestations,attestations,Paleolithi,Neolithic,Early-Mid ,Late Chalc,Early Bron,Middle Bro,Late Bronz,Iron 1,Iron 2,Iron 3,Achaemenid,Hellenisti,Roman 1,Roman 2,Roman 3,Byzantine,Abbasid,Middle Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second Mil,First Mill,Islamic,Neo,EB_I,EB_II,EB_III,2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron,Middle_Bro,Late_Bronz,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_1,IRON_2,IRON_3,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle IA,Late Antique/Antik,Late R,NE,Late IA,2nd MIll,Early IA,Filter,Data,New,News,x,y
1,Bahar_Konya_Karaman_2000-2012,Ali Tepesi,,033.54444863 37.71197143,"LateChalcolithic,AssyrianTradeColony,IronAge,Hellenistic,MiddleBronzeAge,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""AssyrianTradeColony"",""2"":""IronAge"",""3"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, ATC, IA, Hel, MBA, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,AssyrianTradeColony,IronAge,Hellenistic,MiddleBronzeAge,BronzeAge,Chalcolithic",33.5444486315027,37.7119714291076
2,Bahar_Konya_Karaman_2000-2012,Akçapinar,,032.18339540 37.20765229,"Archaic,IronAge",{""0"":""Archaic""},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arch, IA",AnatolianAtlas2024,,"Archaic,IronAge",32.1833954024561,37.2076522944697
3,Bahar_Konya_Karaman_2000-2012,Harmanpinar Yug Tepesi,,032.15468121 37.23881392,"LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""NewEmpire"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, NEmp, Hel, LBA, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic",32.1546812053535,37.2388139238293
4,Bahar_Konya_Karaman_2000-2012,Büyük Höyük,,032.07632941 37.35746749,"LateBronzeAge,Ottoman,BronzeAge","{""0"":""LateBronzeAge"",""1"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LBA, Ott, BA",AnatolianAtlas2024,,"LateBronzeAge,Ottoman,BronzeAge",32.0763294141457,37.3574674921327
5,Bahar_Konya_Karaman_2000-2012,Kumluca Hüyük Tepesi,,031.98571751 37.38968787,"MiddleIronAge,Classical,Hellenistic,IronAge","{""0"":""MiddleIronAge"",""1"":""Classical"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIA, Class, Hel, IA",AnatolianAtlas2024,,"MiddleIronAge,Classical,Hellenistic,IronAge",31.9857175147548,37.3896878656592
6,Bahar_Konya_Karaman_2000-2012,Bursal Kale,,033.59952532 37.90031454,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,,33.5995253207357,37.9003145387806
7,Bahar_Konya_Karaman_2000-2012,Yagmapinar (Kicikisla) Höyük,,033.73282116 37.81530819,"EarlyBronzeAge,NewEmpire,Hellenistic,BronzeAge,LateBronzeAge","{""0"":""EarlyBronzeAge"",""1"":""NewEmpire"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, NEmp, Hel, BA, LBA, Class",AnatolianAtlas2024,,"EarlyBronzeAge,NewEmpire,Hellenistic,BronzeAge,LateBronzeAge",33.7328211559417,37.8153081938946
8,Bahar_Konya_Karaman_2000-2012,Tilkili Höyük,,033.72419306 37.84447984,"LateChalcolithic,EarlyBronzeAge,NewEmpire,Hellenistic,LateRoman,BronzeAge,LateBronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""NewEmpire"",""3"":""Hellenistic"",""4"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, NEmp, Hel, LRom, BA, LBA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,NewEmpire,Hellenistic,LateRoman,BronzeAge,LateBronzeAge,Chalcolithic,Roman,Classical",33.7241930631149,37.8444798445568
9,Bahar_Konya_Karaman_2000-2012,Kazan Höyük,,033.77220901 37.63170243,"LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""NewEmpire""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, NEmp, BA, LBA, Chalc",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic",33.7722090139777,37.6317024328382
10,Bahar_Konya_Karaman_2000-2012,Islik Höyük,,033.32704704 37.53879064,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""MiddleBronzeAge"",""2"":""Hellenistic"",""3"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, MBA, Hel, LRom, BA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical",33.3270470387758,37.5387906439746
11,Bahar_Konya_Karaman_2000-2012,Hotamis-Kesveli Höyük,,033.35737007 37.62718666,"Neolithic,LateChalcolithic,Hellenistic,Chalcolithic","{""0"":""Neolithic"",""1"":""LateChalcolithic"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, LChalc, Hel, Chalc, Class",AnatolianAtlas2024,,"Neolithic,LateChalcolithic,Hellenistic,Chalcolithic",33.3573700727382,37.6271866564809
12,Bahar_Konya_Karaman_2000-2012,Susan Höyük,,033.22227115 37.33734702,"LateChalcolithic,EarlyBronzeAge,Archaic,Hellenistic,BronzeAge,Chalcolithic,IronAge","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""Archaic"",""3"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, Arch, Hel, BA, Chalc, Class, IA",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,Archaic,Hellenistic,BronzeAge,Chalcolithic,IronAge",33.2222711489754,37.3373470224021
13,Bahar_Konya_Karaman_2000-2012,Dinek Höyük,,033.24558981 37.38161453,"NewEmpire,Hellenistic,LateBronzeAge,BronzeAge","{""0"":""NewEmpire"",""1"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEmp, Hel, LBA, BA, Class",AnatolianAtlas2024,,"NewEmpire,Hellenistic,LateBronzeAge,BronzeAge",33.2455898066651,37.3816145278341
14,Bahar_Konya_Karaman_2000-2012,Osmaniye Höyük,,033.30764061 37.37837858,"Neolithic,LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic","{""0"":""Neolithic"",""1"":""LateChalcolithic"",""2"":""NewEmpire"",""3"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, LChalc, NEmp, Hel, LBA, BA, Chalc, Class",AnatolianAtlas2024,,"Neolithic,LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic",33.3076406115221,37.3783785838469
15,Bahar_Konya_Karaman_2000-2012,Egilmez Yamaç Yerlesmei,,033.16927848 37.51955477,"EarlyBronzeAge,Hellenistic,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, Hel, BA, Class",AnatolianAtlas2024,,"EarlyBronzeAge,Hellenistic,BronzeAge",33.1692784820312,37.519554769221
16,Bahar_Konya_Karaman_2000-2012,Adakale Antik Mezarligi,,033.10737968 37.51427622,Ottoman,{""0"":""Ottoman""},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ott,AnatolianAtlas2024,,Ottoman,33.10737968,37.5142762155151
17,Bahar_Konya_Karaman_2000-2012,Domuzbogazlayan Höyük,,032.73747016 37.73800979,"LateChalcolithic,EarlyBronzeAge,Hellenistic,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, Hel, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,Hellenistic,BronzeAge,Chalcolithic",32.7374701602588,37.7380097871071
18,Bahar_Konya_Karaman_2000-2012,Kizilören Höyük,,032.07094755 37.86494308,"EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge","{""0"":""EarlyBronzeAge"",""1"":""NewEmpire""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, NEmp, BA, LBA",AnatolianAtlas2024,,"EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge",32.0709475470914,37.8649430812724
19,Bahar_Konya_Karaman_2000-2012,Gavurören Kale,,033.34677545 37.75348302,"LateRoman,Roman,Classical",{""0"":""LateRoman""},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LRom, Rom, Class",AnatolianAtlas2024,,"LateRoman,Roman,Classical",33.3467754527701,37.7534830192261
20,Bahar_Konya_Karaman_2000-2012,Küllü Tepe,,033.58974630 37.97168376,"NewEmpire,Hellenistic,LateRoman,LateBronzeAge,BronzeAge,Roman,Classical","{""0"":""NewEmpire"",""1"":""Hellenistic"",""2"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEmp, Hel, LRom, LBA, BA, Class, Rom",AnatolianAtlas2024,,"NewEmpire,Hellenistic,LateRoman,LateBronzeAge,BronzeAge,Roman,Classical",33.5897462973837,37.9716837624962
21,Bahar_Konya_Karaman_2000-2012,Baglar Höyük,,032.43307155 38.24848921,Hellenistic,{""0"":""Hellenistic""},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, Class",AnatolianAtlas2024,,Hellenistic,32.4330715490315,38.2484892070151
22,Bahar_Konya_Karaman_2000-2012,Büyükpinar (Yug) Höyük,,032.30611592 38.05526691,"Neolithic,LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic","{""0"":""Neolithic"",""1"":""LateChalcolithic"",""2"":""EarlyBronzeAge"",""3"":""NewEmpire""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, LChalc, EBA, NEmp, BA, LBA, Chalc",AnatolianAtlas2024,,"Neolithic,LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic",32.3061159224895,38.0552669088223
23,Bahar_Konya_Karaman_2000-2012,Boyali höyügü,,032.48052627 37.68207071,"EarlyBronzeAge,MiddleBronzeAge,Ottoman,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,LateRoman,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""AssyrianTradeColony"",""4"":""NewEmpire"",""5"":""Archaic"",""6"":""IronAge"",""7"":""Classical"",""8"":""Hellenistic"",""9"":""LateRoman"",""10"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, Ott, LBA, ATC, NEmp, Arch, IA, Class, Hel, LRom, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,Ottoman,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,LateRoman,BronzeAge",32.4805262711324,37.6820707110183
24,Bahar_Konya_Karaman_2000-2012,Çomakli Höyük,,032.52696248 37.73460937,"EarlyBronzeAge,BronzeAge",{""0"":""EarlyBronzeAge""},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,BronzeAge",32.5269624842624,37.7346093650081
25,Bahar_Konya_Karaman_2000-2012,Evdrese (Yaylapinar),,032.49604854 37.78883378,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge",32.496048543896,37.7888337761557
26,Bahar_Konya_Karaman_2000-2012,Saraçoglu Höyük,,032.52640024 37.80195918,"LateChalcolithic,EarlyBronzeAge,LateRoman,Ottoman,MiddleBronzeAge,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""MiddleBronzeAge"",""3"":""LateBronzeAge"",""4"":""AssyrianTradeColony"",""5"":""NewEmpire"",""6"":""Archaic"",""7"":""IronAge"",""8"":""Classical"",""9"":""Hellenistic"",""10"":""LateRoman"",""11"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, LRom, Ott, MBA, LBA, ATC, NEmp, Arch, IA, Class, Hel, BA, Chalc",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,LateRoman,Ottoman,MiddleBronzeAge,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,BronzeAge,Chalcolithic",32.5264002368109,37.8019591827526
27,Bahar_Konya_Karaman_2000-2012,Tekintas Höyük,,032.52867849 37.80697672,"LateChalcolithic,EarlyBronzeAge,LateRoman,Ottoman,MiddleBronzeAge,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""MiddleBronzeAge"",""3"":""LateBronzeAge"",""4"":""AssyrianTradeColony"",""5"":""NewEmpire"",""6"":""Archaic"",""7"":""IronAge"",""8"":""Classical"",""9"":""Hellenistic"",""10"":""LateRoman"",""11"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, LRom, Ott, MBA, LBA, ATC, NEmp, Arch, IA, Class, Hel, BA, Chalc",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,LateRoman,Ottoman,MiddleBronzeAge,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,BronzeAge,Chalcolithic",32.5286784919322,37.8069767158468
28,Bahar_Konya_Karaman_2000-2012,Uzümcü Höyük,,032.54082361 37.83509724,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,,32.5408236148605,37.8350972363999
29,Bahar_Konya_Karaman_2000-2012,Karaarslan Höyük,,032.52499975 37.79277713,"LateChalcolithic,Abbasid,Chalcolithic,Islamic,Medieval","{""0"":""LateChalcolithic"",""1"":""Abbasid""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, Abbas, Chalc, Islam, Med",AnatolianAtlas2024,,"LateChalcolithic,Abbasid,Chalcolithic,Islamic,Medieval",32.5249997507065,37.7927771250861
30,Bahar_Konya_Karaman_2000-2012,Isgalaman Höyük,,032.53161260 37.87482235,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""MiddleBronzeAge"",""2"":""Hellenistic"",""3"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, MBA, Hel, LRom, BA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical",32.5316125962626,37.8748223513385
31,Bahar_Konya_Karaman_2000-2012,Yarma-Kiyan Hüyük,,032.90368106 37.80017528,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,,32.9036810597891,37.8001752848859
32,Bahar_Konya_Karaman_2000-2012,Baraka Höyük,,032.92732849 37.78297828,"EarlyBronzeAge,MiddleBronzeAge,Ottoman,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,LateRoman,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""AssyrianTradeColony"",""4"":""NewEmpire"",""5"":""Archaic"",""6"":""IronAge"",""7"":""Classical"",""8"":""Hellenistic"",""9"":""LateRoman"",""10"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, Ott, LBA, ATC, NEmp, Arch, IA, Class, Hel, LRom, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,Ottoman,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,LateRoman,BronzeAge",32.9273284918896,37.7829782837325
33,Bahar_Konya_Karaman_2000-2012,Çingen Höyük,,032.91778194 37.72799224,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,,32.9177819399567,37.7279922389038
34,Bahar_Konya_Karaman_2000-2012,Çatalhöyük,,032.85824678 37.77102936,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge",32.8582467772213,37.7710293648554
35,Bahar_Konya_Karaman_2000-2012,Boncuklu Höyük,,032.86477734 37.75180950,Paleolithic,{""0"":""Paleolithic""},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paleo,AnatolianAtlas2024,,Paleolithic,32.8647773353008,37.751809497955
36,Bahar_Konya_Karaman_2000-2012,Kocayüg,,032.86136996 37.75613747,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,,32.8613699553595,37.7561374718991
37,Bahar_Konya_Karaman_2000-2012,Karhane Höyük,,032.87596949 37.73352661,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,,32.8759694894431,37.7335266110663
38,Bahar_Konya_Karaman_2000-2012,Karacayüg,,032.89389053 37.72977508,"Neolithic,LateChalcolithic,Classical,EarlyRoman,Chalcolithic","{""0"":""Neolithic"",""1"":""LateChalcolithic"",""2"":""Classical"",""3"":""EarlyRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, LChalc, Class, ERom, Chalc",AnatolianAtlas2024,,"Neolithic,LateChalcolithic,Classical,EarlyRoman,Chalcolithic",32.8938905317132,37.7297750786594
39,Bahar_Konya_Karaman_2000-2012,Bilceli Höyük,,032.79081343 37.75387588,"Classical,Hellenistic,LateRoman","{""0"":""Classical"",""1"":""Hellenistic"",""2"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class, Hel, LRom",AnatolianAtlas2024,,"Classical,Hellenistic,LateRoman",32.7908134261836,37.7538758751918
40,Bahar_Konya_Karaman_2000-2012,Alibeyhöyügü,,032.66583030 37.53532214,"EarlyBronzeAge,BronzeAge",{""0"":""EarlyBronzeAge""},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,BronzeAge",32.6658302996812,37.535322144959
