OBJECTID,Survey,Name,Alternate,Coordinate,FilterAttestations,attestations,Paleolithi,Neolithic,Early-Mid ,Late Chalc,Early Bron,Middle Bro,Late Bronz,Iron 1,Iron 2,Iron 3,Achaemenid,Hellenisti,Roman 1,Roman 2,Roman 3,Byzantine,Abbasid,Middle Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second Mil,First Mill,Islamic,Neo,EB_I,EB_II,EB_III,2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron,Middle_Bro,Late_Bronz,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_1,IRON_2,IRON_3,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle IA,Late Antique/Antik,Late R,NE,Late IA,2nd MIll,Early IA,Filter,Data,New,News,x,y
685,Cilicia (Rutishauer),Mopsos no 16,,"36.919128, 35.976781","EarlyRoman,LateRoman,Roman,Classical","{""0"":""EarlyRoman"",""1"":""LateRoman""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, Rom, Class",AnatolianAtlas2024,,"EarlyRoman,LateRoman,Roman,Classical",35.9767809999899,36.9191280001128
686,Cilicia (Rutishauer),Mopsos no 17,,"36.918712, 35.975025","EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic","{""0"":""EarlyRoman"",""1"":""LateRoman"",""2"":""EarlyByzantine"",""3"":""Abbasid"",""4"":""MiddleByzantine""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),? (Epoche),? (Epoche),? (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, EByz, Abbas, MByz, Rom, Class, Byz, Med, Islam",AnatolianAtlas2024,,"EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic",35.975025000222,36.9187120002986
687,Cilicia (Rutishauer),Muttalip Kalesi,Muttalip Kalesi,"36.918192, 35.974208","EarlyBronzeAge,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,BronzeAge,Roman,Classical,Byzantine,Medieval,Islamic","{""0"":""EarlyBronzeAge"",""1"":""EarlyRoman"",""2"":""LateRoman"",""3"":""EarlyByzantine"",""4"":""Abbasid"",""5"":""MiddleByzantine""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, ERom, LRom, EByz, Abbas, MByz, BA, Rom, Class, Byz, Med, Islam",AnatolianAtlas2024,,"EarlyBronzeAge,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,BronzeAge,Roman,Classical,Byzantine,Medieval,Islamic",35.9742080004374,36.9181919996738
688,Cilicia (Rutishauer),Mopsos no 19,Muttalip Kalesi,"36.918977, 35.973801","EarlyChalcolithic,LateChalcolithic,EarlyBronzeAge,BronzeAge,Chalcolithic","{""0"":""EarlyChalcolithic"",""1"":""LateChalcolithic"",""2"":""EarlyBronzeAge""}",,,Y (Epoche),,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EChalc, LChalc, EBA, BA, Chalc",AnatolianAtlas2024,,"EarlyChalcolithic,LateChalcolithic,EarlyBronzeAge,BronzeAge,Chalcolithic",35.9738009998333,36.9189770000404
689,Cilicia (Rutishauer),Mopsos no 20,,"36.918314, 35.972922","EarlyRoman,LateRoman,Roman,Classical","{""0"":""EarlyRoman"",""1"":""LateRoman""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, Rom, Class",AnatolianAtlas2024,,"EarlyRoman,LateRoman,Roman,Classical",35.9729220001244,36.9183139998128
690,Cilicia (Rutishauer),Karaagaç,Karaagaç,"36.553167, 36.117739","EarlyBronzeAge,LateBronzeAge,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,BronzeAge,Roman,Classical,Byzantine,Medieval,Islamic","{""0"":""EarlyBronzeAge"",""1"":""LateBronzeAge"",""2"":""Hellenistic"",""3"":""EarlyRoman"",""4"":""LateRoman"",""5"":""EarlyByzantine"",""6"":""Abbasid"",""7"":""MiddleByzantine""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, LBA, Hel, ERom, LRom, EByz, Abbas, MByz, BA, Class, Rom, Byz, Med, Islam",AnatolianAtlas2024,,"EarlyBronzeAge,LateBronzeAge,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,BronzeAge,Roman,Classical,Byzantine,Medieval,Islamic",36.1177390001405,36.5531670001144
691,Cilicia (Rutishauer),"Dagilbaz Höyük
",Dagilbaz Höyük,"36.524844, 36.128583","MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,Achaemenid,Hellenistic,EarlyByzantine,Abbasid,MiddleByzantine,BronzeAge,Classical,IronAge,Byzantine,Medieval,Islamic","{""0"":""MiddleBronzeAge"",""1"":""LateBronzeAge"",""2"":""EarlyIronAge"",""3"":""MiddleIronAge"",""4"":""LateIronAge"",""5"":""Achaemenid"",""6"":""Hellenistic"",""7"":""EarlyByzantine"",""8"":""Abbasid"",""9"":""MiddleByzantine""}",,,,,,,,,,,Y,Y,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"MBA, LBA, EIA, MIA, LIA, Achae, Hel, EByz, Abbas, MByz, BA, Class, IA, Byz, Med, Islam",AnatolianAtlas2024,,"MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,Achaemenid,Hellenistic,EarlyByzantine,Abbasid,MiddleByzantine,BronzeAge,Classical,IronAge,Byzantine,Medieval,Islamic",36.128582999618,36.5248440001478
692,Cilicia (Rutishauer),Mopsos no 60,,"36.545656, 36.106034","Hellenistic,EarlyByzantine,Abbasid,MiddleByzantine,Byzantine,Medieval,Islamic","{""0"":""Hellenistic"",""1"":""EarlyByzantine"",""2"":""Abbasid"",""3"":""MiddleByzantine""}",,,,,,,,,,,,Y,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, EByz, Abbas, MByz, Class, Byz, Med, Islam",AnatolianAtlas2024,,"Hellenistic,EarlyByzantine,Abbasid,MiddleByzantine,Byzantine,Medieval,Islamic",36.1060339995992,36.5456559997961
693,Cilicia (Rutishauer),Mopsos no 61,,"36.534496, 36.040565","EarlyByzantine,Abbasid,MiddleByzantine,Byzantine,Medieval,Islamic","{""0"":""EarlyByzantine"",""1"":""Abbasid"",""2"":""MiddleByzantine""}",,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EByz, Abbas, MByz, Byz, Med, Islam",AnatolianAtlas2024,,"EarlyByzantine,Abbasid,MiddleByzantine,Byzantine,Medieval,Islamic",36.0405649999831,36.5344959999236
694,Cilicia (Rutishauer),Mopsos no 62,,"36.535771, 36.04476","Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Roman,Classical,Byzantine,Medieval","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman"",""3"":""EarlyByzantine""}",,,,,,,,,,,,?,?,?,Y,Y,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, EByz, Class, Rom, Byz, Med",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Roman,Classical,Byzantine,Medieval",36.0447600003076,36.5357709999744
695,Cilicia (Rutishauer),Arpaderesi Magara,Arpaderesi Magara,"36.51832, 36.082602","LateBronzeAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,BronzeAge,Classical,Roman","{""0"":""LateBronzeAge"",""1"":""Achaemenid"",""2"":""Hellenistic"",""3"":""EarlyRoman"",""4"":""LateRoman""}",,,,,,,,,,,?,Y,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LBA, Achae, Hel, ERom, LRom, BA, Class, Rom",AnatolianAtlas2024,,"LateBronzeAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,BronzeAge,Classical,Roman",36.0826019996734,36.518319999969
696,Cilicia (Rutishauer),Arpaderesi Köyü,Arpaderesi Köyü,"36.517766, 36.07838","Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,?,Y,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval",36.0783799995848,36.5177659997157
