OBJECTID,AA_ID,Survey,Name,Alternate,X,Y,Coordinate,attestations4Filter,attestations,Paleolithi,Neolithic,Early_Mid,Late_Chalc,Early_Bron,Middle_Bro,Late_Bronz,Iron_1,Iron_2,Iron_3,Achaemenid,Hellenisti,Roman_1,Roman_2,Roman_3,Byzantine,Abbasid,Middle_Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc_1,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,F1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second_Mil,First_Mill,Islamic,Neo,EB_I,EB_II,EB_III,F2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron_1,Middle_Bro_1,Late_Bronz_1,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_12,IRON_23,IRON_34,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle_IA,Late_Antique_Antik,Late_R,NE,Late_IA,F2nd_MIll,Early_IA,Filter,Data,New,News
2145,AA2130,Omura,Igdeli,,33.21666700000003,39.45833300000004,33.216667 39.458333,IronAge,"{""0"":""IronAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-032,"20 m east-west, 40 m south-north",,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA,AnatolianAtlas2024,,IronAge
2146,AA2131,Omura,Gok Höyük,,33.24166700000006,39.45000000000005,33.2416670000001 39.4500000000001,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-033,"170 m east-west, 120 m south-north, 9 m high",,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge"
2147,AA2132,Omura,Yavaslar,,33.11666700000006,39.41666700000007,33.1166670000001 39.4166670000001,"MiddleBronzeAge,LateBronzeAge,IronAge,BronzeAge","{""0"":""MiddleBronzeAge"",""1"":""LateBronzeAge"",""2"":""IronAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,06-034,"100 m east-west, 110 m south-north, 2.5 m high",,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBA, LBA, IA, BA",AnatolianAtlas2024,,"MiddleBronzeAge,LateBronzeAge,IronAge,BronzeAge"
2148,AA2133,Omura,Afsar,,34.06666700000005,39.45000000000005,34.0666670000001 39.4500000000001,IronAge,"{""0"":""IronAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,06-035,"90 m east-west, 88 m south-north",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA,AnatolianAtlas2024,,IronAge
2149,AA2134,Omura,Kole Yayla,,33.06666700000005,39.42500000000007,33.0666670000001 39.4250000000001,"Roman,Classical","{""0"":""Roman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,06-036,"142 m east-west, 224 m south-north",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rom, Class",AnatolianAtlas2024,,"Roman,Classical"
2150,AA2135,Omura,Buklukale,,33.42500000000007,39.58333300000004,33.4250000000001 39.583333,"LateBronzeAge,IronAge,BronzeAge","{""0"":""LateBronzeAge"",""1"":""IronAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,06-037,"200 m east-west, 300 m south-north, 15 m high",,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LBA, IA, BA",AnatolianAtlas2024,,"LateBronzeAge,IronAge,BronzeAge"
2151,AA2136,Omura,Tumulus-Koprukoy,,33.41666700000007,39.58333300000004,33.4166670000001 39.583333,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-038,"26 m east-west, 34 m south-north, 2 m high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
2152,AA2137,Omura,Kizlar Höyük,,33.39166700000004,39.40833300000003,33.391667 39.408333,"LateBronzeAge,Roman,BronzeAge,Classical","{""0"":""LateBronzeAge"",""1"":""Roman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,06-039,"130 m east-west, 180 m south-north",,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LBA, Rom, BA, Class",AnatolianAtlas2024,,"LateBronzeAge,Roman,BronzeAge,Classical"
2153,AA2138,Omura,Ankese Höyük,,33.39166700000004,39.38333300000005,33.391667 39.3833330000001,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-040,"155 m east-west, 180 m south-north, 10 m high",,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge"
2154,AA2139,Omura,Kale,,33.58333300000004,39.58222200000006,33.583333 39.5822220000001,IronAge,"{""0"":""IronAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,07-001,"190 m east-west, 125 m south-north, 9.3 m high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA,AnatolianAtlas2024,,IronAge
