OBJECTID,AA_ID,Survey,Name,Alternate,X,Y,Coordinate,attestations4Filter,attestations,Paleolithi,Neolithic,Early_Mid,Late_Chalc,Early_Bron,Middle_Bro,Late_Bronz,Iron_1,Iron_2,Iron_3,Achaemenid,Hellenisti,Roman_1,Roman_2,Roman_3,Byzantine,Abbasid,Middle_Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc_1,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,F1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second_Mil,First_Mill,Islamic,Neo,EB_I,EB_II,EB_III,F2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron_1,Middle_Bro_1,Late_Bronz_1,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_12,IRON_23,IRON_34,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle_IA,Late_Antique_Antik,Late_R,NE,Late_IA,F2nd_MIll,Early_IA,Filter,Data,New,News
1,AA0001,Bahar_Konya_Karaman_2000-2012,Ali Tepesi,,33.544473,37.711966,33.544473 37.711966,"LateChalcolithic,AssyrianTradeColony,IronAge,Hellenistic,MiddleBronzeAge,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""AssyrianTradeColony"",""2"":""IronAge"",""3"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, ATC, IA, Hel, MBA, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,AssyrianTradeColony,IronAge,Hellenistic,MiddleBronzeAge,BronzeAge,Chalcolithic"
2,AA0002,Bahar_Konya_Karaman_2000-2012,Akçapınar,,32.18339540200003,37.20765229400007,32.183395402 37.2076522940001,"Archaic,IronAge","{""0"":""Archaic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arch, IA",AnatolianAtlas2024,,"Archaic,IronAge"
3,AA0003,Bahar_Konya_Karaman_2000-2012,Harmanpınar Yuğ Tepesi,,32.15468120500003,37.23881392400006,32.154681205 37.2388139240001,"LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""NewEmpire"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, NEmp, Hel, LBA, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic"
4,AA0004,Bahar_Konya_Karaman_2000-2012,Büyük Höyük,,32.07632941400004,37.35746749200007,32.076329414 37.3574674920001,"LateBronzeAge,Ottoman,BronzeAge","{""0"":""LateBronzeAge"",""1"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LBA, Ott, BA",AnatolianAtlas2024,,"LateBronzeAge,Ottoman,BronzeAge"
5,AA0005,Bahar_Konya_Karaman_2000-2012,Kumluca Hüyük Tepesi,,31.98571751500003,37.38968786600003,31.985717515 37.389687866,"MiddleIronAge,Classical,Hellenistic,IronAge","{""0"":""MiddleIronAge"",""1"":""Classical"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIA, Class, Hel, IA",AnatolianAtlas2024,,"MiddleIronAge,Classical,Hellenistic,IronAge"
6,AA0006,Bahar_Konya_Karaman_2000-2012,Bursal Kale,,33.59952532100004,37.90031453900008,33.599525321 37.9003145390001,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
7,AA0007,Bahar_Konya_Karaman_2000-2012,Yağmapınar (Kıcıkışla) Höyük,,33.73282115600006,37.81530819400007,33.7328211560001 37.8153081940001,"EarlyBronzeAge,NewEmpire,Hellenistic,BronzeAge,LateBronzeAge","{""0"":""EarlyBronzeAge"",""1"":""NewEmpire"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, NEmp, Hel, BA, LBA, Class",AnatolianAtlas2024,,"EarlyBronzeAge,NewEmpire,Hellenistic,BronzeAge,LateBronzeAge"
8,AA0008,Bahar_Konya_Karaman_2000-2012,Tilkili Höyük,,33.72419306300003,37.84447984500008,33.724193063 37.8444798450001,"LateChalcolithic,EarlyBronzeAge,NewEmpire,Hellenistic,LateRoman,BronzeAge,LateBronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""NewEmpire"",""3"":""Hellenistic"",""4"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, NEmp, Hel, LRom, BA, LBA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,NewEmpire,Hellenistic,LateRoman,BronzeAge,LateBronzeAge,Chalcolithic,Roman,Classical"
9,AA0009,Bahar_Konya_Karaman_2000-2012,Kazan Höyük,,33.77220901400005,37.63170243300004,33.772209014 37.631702433,"LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""NewEmpire""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, NEmp, BA, LBA, Chalc",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic"
10,AA0010,Bahar_Konya_Karaman_2000-2012,İslik Höyük,,33.32704703900004,37.53879064400007,33.327047039 37.5387906440001,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""MiddleBronzeAge"",""2"":""Hellenistic"",""3"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, MBA, Hel, LRom, BA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical"
11,AA0011,Bahar_Konya_Karaman_2000-2012,Hotamış-Keşveli Höyük,,33.35737007300003,37.62718665600005,33.357370073 37.627186656,"Neolithic,LateChalcolithic,Hellenistic,Chalcolithic","{""0"":""Neolithic"",""1"":""LateChalcolithic"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, LChalc, Hel, Chalc, Class",AnatolianAtlas2024,,"Neolithic,LateChalcolithic,Hellenistic,Chalcolithic"
12,AA0012,Bahar_Konya_Karaman_2000-2012,Susan Höyük,,33.22227114900005,37.33734702200007,33.2222711490001 37.3373470220001,"LateChalcolithic,EarlyBronzeAge,Archaic,Hellenistic,BronzeAge,Chalcolithic,IronAge","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""Archaic"",""3"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, Arch, Hel, BA, Chalc, Class, IA",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,Archaic,Hellenistic,BronzeAge,Chalcolithic,IronAge"
13,AA0013,Bahar_Konya_Karaman_2000-2012,Dinek Höyük,,33.24558980700004,37.38161452800006,33.245589807 37.3816145280001,"NewEmpire,Hellenistic,LateBronzeAge,BronzeAge","{""0"":""NewEmpire"",""1"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEmp, Hel, LBA, BA, Class",AnatolianAtlas2024,,"NewEmpire,Hellenistic,LateBronzeAge,BronzeAge"
14,AA0014,Bahar_Konya_Karaman_2000-2012,Osmaniye Höyük,,33.30764061200006,37.37837858400007,33.3076406120001 37.3783785840001,"Neolithic,LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic","{""0"":""Neolithic"",""1"":""LateChalcolithic"",""2"":""NewEmpire"",""3"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, LChalc, NEmp, Hel, LBA, BA, Chalc, Class",AnatolianAtlas2024,,"Neolithic,LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic"
15,AA0015,Bahar_Konya_Karaman_2000-2012,Eğilmez Yamaç Yerleşmei,,33.16927848200004,37.51955476900002,33.169278482 37.519554769,"EarlyBronzeAge,Hellenistic,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, Hel, BA, Class",AnatolianAtlas2024,,"EarlyBronzeAge,Hellenistic,BronzeAge"
16,AA0016,Bahar_Konya_Karaman_2000-2012,Adakale Antik Mezarlığı,,33.10737968300003,37.51427621600004,33.107379683 37.514276216,Ottoman,"{""0"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ott,AnatolianAtlas2024,,Ottoman
17,AA0017,Bahar_Konya_Karaman_2000-2012,Domuzboğazlayan Höyük,,32.737728,37.737923,32.737728 37.737923,"LateChalcolithic,EarlyBronzeAge,Hellenistic,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, Hel, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,Hellenistic,BronzeAge,Chalcolithic"
18,AA0018,Bahar_Konya_Karaman_2000-2012,Kızılören Höyük,,32.07094754700006,37.86494308100004,32.0709475470001 37.864943081,"EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge","{""0"":""EarlyBronzeAge"",""1"":""NewEmpire""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, NEmp, BA, LBA",AnatolianAtlas2024,,"EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge"
19,AA0019,Bahar_Konya_Karaman_2000-2012,Gavurören Kale,,33.34677545300008,37.75348301900004,33.3467754530001 37.753483019,"LateRoman,Roman,Classical","{""0"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LRom, Rom, Class",AnatolianAtlas2024,,"LateRoman,Roman,Classical"
20,AA0020,Bahar_Konya_Karaman_2000-2012,Küllü Tepe,,33.58974629700003,37.97168376200005,33.589746297 37.971683762,"NewEmpire,Hellenistic,LateRoman,LateBronzeAge,BronzeAge,Roman,Classical","{""0"":""NewEmpire"",""1"":""Hellenistic"",""2"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEmp, Hel, LRom, LBA, BA, Class, Rom",AnatolianAtlas2024,,"NewEmpire,Hellenistic,LateRoman,LateBronzeAge,BronzeAge,Roman,Classical"
21,AA0021,Bahar_Konya_Karaman_2000-2012,Bağlar Höyük,,32.43307154900003,38.24848920700003,32.433071549 38.248489207,Hellenistic,"{""0"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, Class",AnatolianAtlas2024,,Hellenistic
22,AA0022,Bahar_Konya_Karaman_2000-2012,Büyükpınar (Yuğ) Höyük,,32.30611592200006,38.05526690900007,32.3061159220001 38.0552669090001,"Neolithic,LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic","{""0"":""Neolithic"",""1"":""LateChalcolithic"",""2"":""EarlyBronzeAge"",""3"":""NewEmpire""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, LChalc, EBA, NEmp, BA, LBA, Chalc",AnatolianAtlas2024,,"Neolithic,LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic"
23,AA0023,Bahar_Konya_Karaman_2000-2012,Boyalı höyüğü,,32.48052627100003,37.68207071100005,32.480526271 37.6820707110001,"EarlyBronzeAge,MiddleBronzeAge,Ottoman,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,LateRoman,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""AssyrianTradeColony"",""4"":""NewEmpire"",""5"":""Archaic"",""6"":""IronAge"",""7"":""Classical"",""8"":""Hellenistic"",""9"":""LateRoman"",""10"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, Ott, LBA, ATC, NEmp, Arch, IA, Class, Hel, LRom, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,Ottoman,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,LateRoman,BronzeAge"
24,AA0024,Bahar_Konya_Karaman_2000-2012,Çomaklı Höyük,,32.526967,37.734603,32.526967 37.734603,"EarlyBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,BronzeAge"
25,AA0025,Bahar_Konya_Karaman_2000-2012,Evdreşe (Yaylapınar),,32.49604854400008,37.78883377600005,32.4960485440001 37.788833776,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge"
26,AA0026,Bahar_Konya_Karaman_2000-2012,Saraçoğlu Höyük,,32.52640023700008,37.80195918300006,32.5264002370001 37.8019591830001,"LateChalcolithic,EarlyBronzeAge,LateRoman,Ottoman,MiddleBronzeAge,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""MiddleBronzeAge"",""3"":""LateBronzeAge"",""4"":""AssyrianTradeColony"",""5"":""NewEmpire"",""6"":""Archaic"",""7"":""IronAge"",""8"":""Classical"",""9"":""Hellenistic"",""10"":""LateRoman"",""11"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, LRom, Ott, MBA, LBA, ATC, NEmp, Arch, IA, Class, Hel, BA, Chalc",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,LateRoman,Ottoman,MiddleBronzeAge,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,BronzeAge,Chalcolithic"
27,AA0027,Bahar_Konya_Karaman_2000-2012,Tekintaş Höyük,,32.52867849200004,37.80697671600007,32.528678492 37.8069767160001,"LateChalcolithic,EarlyBronzeAge,LateRoman,Ottoman,MiddleBronzeAge,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""MiddleBronzeAge"",""3"":""LateBronzeAge"",""4"":""AssyrianTradeColony"",""5"":""NewEmpire"",""6"":""Archaic"",""7"":""IronAge"",""8"":""Classical"",""9"":""Hellenistic"",""10"":""LateRoman"",""11"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, LRom, Ott, MBA, LBA, ATC, NEmp, Arch, IA, Class, Hel, BA, Chalc",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,LateRoman,Ottoman,MiddleBronzeAge,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,BronzeAge,Chalcolithic"
28,AA0028,Bahar_Konya_Karaman_2000-2012,Uzümcü Höyük,,32.54082361500008,37.83509723600002,32.5408236150001 37.835097236,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
29,AA0029,Bahar_Konya_Karaman_2000-2012,Karaarslan Höyük,,32.52499975100005,37.79277712500004,32.5249997510001 37.792777125,"LateChalcolithic,Abbasid,Chalcolithic,Islamic,Medieval","{""0"":""LateChalcolithic"",""1"":""Abbasid""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, Abbas, Chalc, Islam, Med",AnatolianAtlas2024,,"LateChalcolithic,Abbasid,Chalcolithic,Islamic,Medieval"
30,AA0030,Bahar_Konya_Karaman_2000-2012,İsgalaman Höyük,,32.53161259600006,37.87482235100003,32.5316125960001 37.874822351,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""MiddleBronzeAge"",""2"":""Hellenistic"",""3"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, MBA, Hel, LRom, BA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical"
31,AA0031,Bahar_Konya_Karaman_2000-2012,Yarma-Kıyan Hüyük,,32.90368106000005,37.80017528500008,32.9036810600001 37.8001752850001,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
32,AA0032,Bahar_Konya_Karaman_2000-2012,Baraka Höyük,,32.92732849200007,37.78297828400008,32.9273284920001 37.7829782840001,"EarlyBronzeAge,MiddleBronzeAge,Ottoman,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,LateRoman,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""AssyrianTradeColony"",""4"":""NewEmpire"",""5"":""Archaic"",""6"":""IronAge"",""7"":""Classical"",""8"":""Hellenistic"",""9"":""LateRoman"",""10"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, Ott, LBA, ATC, NEmp, Arch, IA, Class, Hel, LRom, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,Ottoman,LateBronzeAge,AssyrianTradeColony,NewEmpire,Archaic,IronAge,Classical,Hellenistic,LateRoman,BronzeAge"
33,AA0033,Bahar_Konya_Karaman_2000-2012,Çingen Höyük,,32.91740241000008,37.72820077000006,32.9174024100001 37.7282007700001,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
34,AA0034,Bahar_Konya_Karaman_2000-2012,Çatalhöyük,,32.85824677700003,37.77102936500006,32.858246777 37.7710293650001,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge"
35,AA0035,Bahar_Konya_Karaman_2000-2012,Boncuklu Höyük,,32.864772,37.751779,32.864772 37.751779,Paleolithic,"{""0"":""Paleolithic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paleo,AnatolianAtlas2024,,Paleolithic
36,AA0036,Bahar_Konya_Karaman_2000-2012,Kocayüğ,,32.86136995500004,37.75613747200003,32.861369955 37.756137472,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
37,AA0037,Bahar_Konya_Karaman_2000-2012,Karhane Höyük,,32.893887,37.729802,32.893887 37.729802,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
38,AA0038,Bahar_Konya_Karaman_2000-2012,Karacayüğ,,32.89389053200006,37.72977507900004,32.8938905320001 37.729775079,"Neolithic,LateChalcolithic,Classical,EarlyRoman,Chalcolithic","{""0"":""Neolithic"",""1"":""LateChalcolithic"",""2"":""Classical"",""3"":""EarlyRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, LChalc, Class, ERom, Chalc",AnatolianAtlas2024,,"Neolithic,LateChalcolithic,Classical,EarlyRoman,Chalcolithic"
