OBJECTID,Survey,Name,Alternate,X,Y,Coordinate,attestations4Filter,attestations,Paleolithi,Neolithic,Early_Mid,Late_Chalc,Early_Bron,Middle_Bro,Late_Bronz,Iron_1,Iron_2,Iron_3,Achaemenid,Hellenisti,Roman_1,Roman_2,Roman_3,Byzantine,Abbasid,Middle_Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc_1,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,F1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second_Mil,First_Mill,Islamic,Neo,EB_I,EB_II,EB_III,F2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron_1,Middle_Bro_1,Late_Bronz_1,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_12,IRON_23,IRON_34,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle_IA,Late_Antique_Antik,Late_R,NE,Late_IA,F2nd_MIll,Early_IA,Filter,Data,New,News,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,nodegoat_ID,Pleiades_Link,DAI_Gazetteer_Link,ToposText_Link,Original_Periods,Publications
3705,MIGMAG 2025,Beçin,,27.79090403813604,37.27252283,"37.27252283, 27.79090403813604","Archaic,IronAge",{"0": "Archaic"},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An13 Archaic (690-490 BCE),
3706,MIGMAG 2025,Emecik,,27.79608560073319,36.75971493928608,"36.75971493928608, 27.79608560073319","Archaic,Classical,Hellenistic,IronAge","{""0"": ""Archaic"", ""1"": ""Classical"", ""2"": ""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE)",
3707,MIGMAG 2025,Çiniyeri Tumulus Group,,27.79947352496631,38.08632310431602,"38.08632310431602, 27.79947352496631","Archaic,Classical,IronAge","{""0"": ""Archaic"", ""1"": ""Classical""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE)",
3708,MIGMAG 2025,Tralleis,,27.8,37.8,"37.8, 27.8","Classical,Hellenistic","{""0"": ""Classical"", ""1"": ""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngWD1S08iWjO2XtEgYF80ltBxHK,https://pleiades.stoa.org/places/599987,https://gazetteer.dainst.org/place/2410944,,"An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE)",
3709,MIGMAG 2025,Triopion,,27.801259528134,36.76859584,"36.76859584, 27.801259528134","Archaic,Classical,Hellenistic,IronAge","{""0"": ""Archaic"", ""1"": ""Classical"", ""2"": ""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngAH1M48mCHS7BxykBJ25pxXbLO,https://pleiades.stoa.org/places/599241518,,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE)",
3710,MIGMAG 2025,Çiniyeri,,27.80149011,38.08648410837066,"38.08648410837066, 27.80149011","Archaic,Classical,Hellenistic,IronAge","{""0"": ""Archaic"", ""1"": ""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An13 Archaic (690-490 BCE), An15 Hellenistic (323-50 BCE)",
3711,MIGMAG 2025,Gelenbe,,27.80607149667768,39.16774658922161,"39.16774658922161, 27.80607149667768","Archaic,Classical,IronAge","{""0"": ""Archaic"", ""1"": ""Classical""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE)",
3712,MIGMAG 2025,Doyranli,,27.8067398071289,38.18166419372128,"38.18166419372128, 27.8067398071289","Classical,EarlyRoman,Hellenistic,Roman","{""0"": ""Hellenistic"", ""1"": ""EarlyRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An15 Hellenistic (323-50 BCE), An16 Early Roman (50 BCE - 300 CE)",
3713,MIGMAG 2025,Hydissos,,27.811477,37.138837,"37.138837, 27.811477","Classical,EarlyRoman,Hellenistic,Roman","{""0"": ""Classical"", ""1"": ""Hellenistic"", ""2"": ""EarlyRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngUB3Y48gWLMeVrIeUt26jrHvWI,https://pleiades.stoa.org/places/599653,,https://topostext.org/place/372278UHyd,"An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE), An16 Early Roman (50 BCE - 300 CE)",
3714,MIGMAG 2025,Labraunda,,27.82060125,37.4188144,"37.4188144, 27.82060125","Archaic,Classical,EarlyIronAge,Hellenistic,IronAge","{""0"": ""EarlyIronAge"", ""1"": ""Archaic"", ""2"": ""Classical"", ""3"": ""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngTA8r58fUgL5UqLdT63diqMuTn,https://pleiades.stoa.org/places/599745,https://gazetteer.dainst.org/place/2285503,,"An07a EIA (1050-900 BCE), An10a G (900-680 BCE), An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE)",
3715,MIGMAG 2025,Çakallik mevkii,,27.82441888173505,37.58268952171898,"37.58268952171898, 27.82441888173505","Classical,Hellenistic","{""0"": ""Classical"", ""1"": ""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE)",
3716,MIGMAG 2025,Dallik,,27.82593833029808,37.56499379481438,"37.56499379481438, 27.82593833029808","Archaic,Classical,Hellenistic,IronAge","{""0"": ""Archaic"", ""1"": ""Classical"", ""2"": ""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE)",
